r y0 y1 y2 y3 y4 y5 y6 y7 y8 y9 y10 y11 y12 y13 y14 y15 y16 y17 y18 y19
1.414141414141414144e+00 3.679169779747536451e-01 5.202866355198536574e-01 -3.678419005381706741e-01 7.507360639463925907e-05 -3.679169703145723780e-01 -3.003263254760203393e-01 -1.227140624341318681e-01 -3.468577461802877515e-01 1.225388894105161053e-01 -2.327425548950329270e-01 2.697306961990368346e-01 -5.674276704016364276e-02 3.024894767005220642e-01 1.091455834471310726e-01 2.441516846798844065e-01 2.241659590919361511e-01 1.320744232156763065e-01 2.736029969195016842e-01 3.103313556651780131e-03 2.609503666847818870e-01
1.484848484848484862e+00 3.320772981280580849e-01 4.930844729780256563e-01 -4.000784344756769251e-01 -7.139755052575220973e-02 -3.251148309997206054e-01 -3.370095414838060743e-01 -3.620407568874359217e-02 -3.187376077086070958e-01 2.004344512464344696e-01 -1.519902022623283167e-01 3.013626984249369034e-01 4.393466936968346698e-02 2.747300793506596839e-01 1.948596082646540384e-01 1.653709748573811700e-01 2.690898057212410266e-01 2.410603406481541186e-02 2.656315712171624654e-01 -1.073681779517600687e-01 2.015854728154805597e-01
1.555555555555555580e+00 2.982340961814215485e-01 4.639197051711002051e-01 -4.234187785291787520e-01 -1.376961254492180542e-01 -2.719607677874478213e-01 -3.566764950668822598e-01 4.837054178662703735e-02 -2.712693731600051006e-01 2.593578320221865408e-01 -6.220438342691953643e-02 3.026312813060698104e-01 1.354022983997683616e-01 2.166436595447180091e-01 2.527326685859659361e-01 6.805081748690199051e-02 2.738358042481021104e-01 -8.255119126960193399e-02 2.153705507549535658e-01 -1.942248101795778503e-01 1.087773455494036590e-01
1.626262626262626299e+00 2.665042561954038547e-01 4.334059115905052884e-01 -4.383275798255188427e-01 -1.975867414755886897e-01 -2.111144193410677272e-01 -3.595491176459806870e-01 1.264745761885050501e-01 -2.085382315758136929e-01 2.960435422678282524e-01 2.878628290044817073e-02 2.751076599507057407e-01 2.089273459785384313e-01 1.363968384948536783e-01 2.772681123422461869e-01 -3.403141251682056945e-02 2.397935062625071723e-01 -1.719056443976164639e-01 1.328915775744780037e-01 -2.439445130491011138e-01 6.188224059178488046e-04
1.696969696969696795e+00 2.369625715621505868e-01 4.021183032569827787e-01 -4.454200036618201075e-01 -2.501361567963331645e-01 -1.452719287928744829e-01 -3.465648950596585953e-01 1.942736101599928933e-01 -1.352957885003463756e-01 3.090700367663473669e-01 1.135434665617775091e-01 2.229010007696559659e-01 2.580729946822193921e-01 4.411190688908867008e-02 2.672222894393214143e-01 -1.272829349605516247e-01 1.735976984396960521e-01 -2.314362402157764675e-01 3.275605087785792707e-02 -2.499649154598172218e-01 -1.030632883103549668e-01
1.767676767676767513e+00 2.096448065879578659e-01 3.705842540696224763e-01 -4.454283697977383660e-01 -2.947144179458937585e-01 -7.705414148942661690e-02 -3.192723563498138795e-01 2.487852186579466440e-01 -5.661204574353829316e-02 2.988211176737001762e-01 1.855914310708685622e-01 1.521056938650384716e-01 2.791882510254896643e-01 -4.937079183982612252e-02 2.254925294605214792e-01 -2.000266391770597896e-01 8.591867555629549569e-02 -2.537230718557168530e-01 -6.849522235908007961e-02 -2.133639341020502345e-01 -1.842482536522513370e-01
1.838383838383838231e+00 1.845513436932670615e-01 3.392762075977232561e-01 -4.391685531025473765e-01 -3.309854856482596919e-01 -8.909373198813080527e-03 -2.797048494964411991e-01 2.879669497039684112e-01 2.246538793661237085e-02 2.673169466511227110e-01 2.398683473489409412e-01 7.010912580517734971e-02 2.715869360491160456e-01 -1.337215027654828914e-01 1.585250899597940299e-01 -2.438716752861060100e-01 -1.022185851452892848e-02 -2.372278062159271506e-01 -1.550091822834748223e-01 -1.422390143789155625e-01 -2.297449908410589547e-01
1.909090909090908950e+00 1.616512487872699688e-01 3.086069295029699178e-01 -4.275074348093089727e-01 -3.588875410080087369e-01 5.696602814820831556e-02 -2.302416878609009621e-01 3.107416744907959272e-01 9.722190222528503956e-02 2.179389496393875358e-01 2.730279571493947066e-01 -1.516451419375558843e-02 2.374203188518292373e-01 -2.002058982978952573e-01 7.534622567710776153e-02 -2.545733643076161234e-01 -1.013483139160267082e-01 -1.861667424590364162e-01 -2.140218519103321559e-01 -4.997101851609774686e-02 -2.332068376496784501e-01
1.979797979797979668e+00 1.408865925476422143e-01 2.789269913064431616e-01 -4.113325013519825712e-01 -3.786049562394213086e-01 1.186873962415047612e-01 -1.734655792290321907e-01 3.169649535864658696e-01 1.635376890940986316e-01 1.550791603418025799e-01 2.835784926586493171e-01 -9.599913089489713058e-02 1.812793470321101552e-01 -2.425180073632183519e-01 -1.364253690730354157e-02 -2.323093883991288189e-01 -1.753697004988082619e-01 -1.095568607742661432e-01 -2.376402897944484560e-01 4.726972777695233330e-02 -1.958513528479841337e-01
2.050505050505050608e+00 1.221768759812964233e-01 2.505243012545775305e-01 -3.915244690154635610e-01 -3.905340851993840956e-01 1.747210651823221106e-01 -1.120245274700171489e-01 3.073423822672005645e-01 2.180874669005918309e-01 8.374765610144233041e-02 2.718611114340365731e-01 -1.655527174295590986e-01 1.095874123097994729e-01 -2.572900039705927067e-01 -9.794617094638700949e-02 -1.813799524992832368e-01 -2.231140103749128800e-01 -1.963054728763269363e-02 -2.237714184042584875e-01 1.333175939112376529e-01 -1.258415289046479479e-01
